CustomerID,CustomerName,Email,City,State,Country
1,Customer 001,customer001@example.com,Pune,MH,India
2,Customer 002,customer002@example.com,Bengaluru,KA,India
3,Customer 003,customer003@example.com,Bengaluru,KA,India
4,Customer 004,customer004@example.com,Pune,MH,India
5,Customer 005,customer005@example.com,Chennai,TN,India
6,Customer 006,customer006@example.com,Hyderabad,TS,India
7,Customer 007,customer007@example.com,Hyderabad,TS,India
8,Customer 008,customer008@example.com,Hyderabad,TS,India
9,Customer 009,customer009@example.com,Pune,MH,India
10,Customer 010,customer010@example.com,Bengaluru,KA,India
11,Customer 011,customer011@example.com,Pune,MH,India
12,Customer 012,customer012@example.com,Pune,MH,India
13,Customer 013,customer013@example.com,Delhi,DL,India
14,Customer 014,customer014@example.com,Bengaluru,KA,India
15,Customer 015,customer015@example.com,Delhi,DL,India
16,Customer 016,customer016@example.com,Mumbai,MH,India
17,Customer 017,customer017@example.com,Bengaluru,KA,India
18,Customer 018,customer018@example.com,Bengaluru,KA,India
19,Customer 019,customer019@example.com,Bengaluru,KA,India
20,Customer 020,customer020@example.com,Hyderabad,TS,India
